"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 17:52:59 GMT 2022","Wed Oct 26 17:53:01 GMT 2022","1218","","Other pages elements tests","","Other pages elements tests","Check the cityes from ""Where we are"" block on ""About Us"" page","Check the cityes from ""Where we are"" block on ""About Us"" page",""
"passed","Wed Oct 26 17:52:55 GMT 2022","Wed Oct 26 17:52:58 GMT 2022","3005","","Other pages elements tests","","Other pages elements tests","Check the ""Come and work with us"" position headings from ""Careers"" page","Check the ""Come and work with us"" position headings from ""Careers"" page",""
"passed","Wed Oct 26 17:52:41 GMT 2022","Wed Oct 26 17:52:41 GMT 2022","796","","Contact Us page elements tests","","Contact Us page elements tests","Check the Mexico number from ""Calling from overseas"" block","Check the Mexico number from ""Calling from overseas"" block",""
"passed","Wed Oct 26 17:53:02 GMT 2022","Wed Oct 26 17:53:06 GMT 2022","4277","","Release Notes page elements tests","","Release Notes page elements tests","Check the ""Release Notes"" page ""Network"" filters","Check the ""Release Notes"" page ""Network"" filters",""
"passed","Wed Oct 26 17:52:45 GMT 2022","Wed Oct 26 17:52:45 GMT 2022","833","","Fax API page elements tests","","Fax API page elements tests","Check ""Your communications powered by our API"" block from ""Fax-API"" page","Check ""Your communications powered by our API"" block from ""Fax-API"" page",""
"passed","Wed Oct 26 17:52:46 GMT 2022","Wed Oct 26 17:52:48 GMT 2022","1293","","Footer elements tests","","Footer elements tests","Check ""Mission control"" footer block","Check ""Mission control"" footer block",""
"passed","Wed Oct 26 17:52:51 GMT 2022","Wed Oct 26 17:52:52 GMT 2022","1843","","Header elements tests","","Header elements tests","Check links from ""Resources"" drop-down menu","Check links from ""Resources"" drop-down menu",""
"skipped","Wed Oct 26 17:52:54 GMT 2022","Wed Oct 26 17:52:54 GMT 2022","0","","Header elements tests","","Header elements tests","Check the ""Developer Docs"" page heading","Check the ""Developer Docs"" page heading",""
"passed","Wed Oct 26 17:52:36 GMT 2022","Wed Oct 26 17:52:39 GMT 2022","2097","","Contact Us page elements tests","","Contact Us page elements tests","Check ""Talk to an expert"" form with invalid ""Business email"" data","Check ""Talk to an expert"" form with invalid ""Business email"" data",""
"passed","Wed Oct 26 17:52:31 GMT 2022","Wed Oct 26 17:52:36 GMT 2022","5131","","Contact Us page elements tests","","Contact Us page elements tests","Check ""Talk to an expert"" form with valid data","Check ""Talk to an expert"" form with valid data",""
"passed","Wed Oct 26 17:52:48 GMT 2022","Wed Oct 26 17:52:50 GMT 2022","1677","","Footer elements tests","","Footer elements tests","Check redirect from footer twitter link","Check redirect from footer twitter link",""
"passed","Wed Oct 26 17:52:48 GMT 2022","Wed Oct 26 17:52:48 GMT 2022","291","","Footer elements tests","","Footer elements tests","Check ""Social"" footer block","Check ""Social"" footer block",""
"passed","Wed Oct 26 17:52:42 GMT 2022","Wed Oct 26 17:52:45 GMT 2022","2349","","Fax API page elements tests","","Fax API page elements tests","Check ""Fax Features for Total Control"" block from ""Fax-API"" page","Check ""Fax Features for Total Control"" block from ""Fax-API"" page",""
"passed","Wed Oct 26 17:52:58 GMT 2022","Wed Oct 26 17:52:59 GMT 2022","1381","","Other pages elements tests","","Other pages elements tests","Check the ""Data Transfer Impact Assessment"" block from ""Data & Privacy"" page","Check the ""Data Transfer Impact Assessment"" block from ""Data & Privacy"" page",""
"passed","Wed Oct 26 17:52:39 GMT 2022","Wed Oct 26 17:52:41 GMT 2022","1957","","Contact Us page elements tests","","Contact Us page elements tests","Check ""Talk to an expert"" form with invalid ""Company website"" data","Check ""Talk to an expert"" form with invalid ""Company website"" data",""
"failed","Wed Oct 26 17:53:06 GMT 2022","Wed Oct 26 17:53:17 GMT 2022","10973","","Release Notes page elements tests","","Release Notes page elements tests","Check the ""Release Notes"" page ""Fax"" filters","Check the ""Release Notes"" page ""Fax"" filters",""
"passed","Wed Oct 26 17:52:48 GMT 2022","Wed Oct 26 17:52:48 GMT 2022","58","","Footer elements tests","","Footer elements tests","Check ""Products"" footer block","Check ""Products"" footer block",""
"passed","Wed Oct 26 17:52:52 GMT 2022","Wed Oct 26 17:52:54 GMT 2022","1801","","Header elements tests","","Header elements tests","Check ""Built different"" block from Network page","Check ""Built different"" block from Network page",""
"passed","Wed Oct 26 17:52:24 GMT 2022","Wed Oct 26 17:52:29 GMT 2022","5555","","Blog page elements tests","","Blog page elements tests","Check ""Get the eBook"" form with valid data","Check ""Get the eBook"" form with valid data",""
"passed","Wed Oct 26 17:52:29 GMT 2022","Wed Oct 26 17:52:30 GMT 2022","1035","","Blog page elements tests","","Blog page elements tests","Check the ""Stay Connected"" form with invalid data","Check the ""Stay Connected"" form with invalid data",""
